user_id,product_id,categorie,sub_categorie,rating
LY86,10932,Tvs,samsungTV,2
XL22,10795,Laptops,hp,5
UB62,10997,Mobiles,IQ Mobiles,3
HC5,10733,Speakers,boat,5
PA38,10796,Laptops,hp,2
YE46,10992,Earphones,Realmebuds,2
WR14,10899,Mobiles,samsung,2
CB73,10708,Mobiles,Apple Mobiles,5
RZ58,10721,Mobiles,Apple Mobiles,2
EO32,10756,Cameras,canoncamera,3
FQ77,10785,Laptops,dell,2
QK4,10836,Tvs,lgTV,4
MK24,10871,Cameras,nikoncamera,4
XF67,10883,Cameras,nikoncamera,5
IF50,10971,Earphones,Noiseearbuds,4
TH50,10957,Earphones,Noiseearbuds,2
JQ98,10863,Mobiles,mi,2
CN7,10934,Tvs,samsungTV,3
CQ73,10957,Earphones,Noiseearbuds,3
JU14,10950,Speakers,Skullcandy,5
PS50,10721,Mobiles,Apple Mobiles,4
TD35,10883,Cameras,nikoncamera,2
CX62,10887,Cameras,nikoncamera,3
FS33,10813,Laptops,lenovo,5
RX67,10935,Tvs,samsungTV,5
FR77,10868,Cameras,nikoncamera,3
DN91,10894,Mobiles,samsung,5
CB73,10774,Cameras,canoncamera,3
HD40,10964,Earphones,Noiseearbuds,5
YU71,10967,Earphones,Noiseearbuds,5
UR60,10882,Cameras,nikoncamera,3
HJ41,10953,Speakers,Skullcandy,4
TW77,10852,Mobiles,mi,3
VP76,10775,Cameras,canoncamera,3
GQ80,10780,Laptops,dell,2
RE27,10895,Mobiles,samsung,4
RE59,10990,Earphones,Realmebuds,3
XE83,10704,Mobiles,Apple Mobiles,4
FS33,10932,Tvs,samsungTV,3
NL29,10885,Cameras,nikoncamera,3
TR61,10786,Laptops,dell,4
QB79,10967,Earphones,Noiseearbuds,3
TR61,10907,Mobiles,samsung,2
RZ58,10858,Mobiles,mi,3
OI41,10934,Tvs,samsungTV,5
FS33,10782,Laptops,dell,4
OP5,10829,Tvs,lgTV,3
OT35,10989,Earphones,Realmebuds,4
CS54,10822,Tvs,lgTV,2
QK45,10838,Tvs,lgTV,3
ST98,10728,Speakers,boat,4
LS8,10828,Tvs,lgTV,5
MK24,10906,Mobiles,samsung,5
KJ90,10797,Laptops,hp,5
QB55,10893,Mobiles,samsung,3
HH48,10757,Cameras,canoncamera,2
KY16,10805,Laptops,hp,2
EO45,10724,Mobiles,Apple Mobiles,2
FH50,10925,Tvs,samsungTV,3
NC19,10721,Mobiles,Apple Mobiles,5
CP21,10948,Speakers,Skullcandy,5
YU71,10957,Earphones,Noiseearbuds,3
IG99,10843,Mobiles,mi,2
TM46,10996,Mobiles,IQ Mobiles,2
BN86,10839,Tvs,lgTV,2
CV48,10748,Speakers,boat,2
HZ51,10766,Cameras,canoncamera,4
HM79,10725,Mobiles,Apple Mobiles,5
UO13,10764,Cameras,canoncamera,2
YU71,11002,Mobiles,IQ Mobiles,2
SK90,10907,Mobiles,samsung,2
FF22,10931,Tvs,samsungTV,3
FR77,10898,Mobiles,samsung,5
XF67,10926,Tvs,samsungTV,2
HC5,10989,Earphones,Realmebuds,4
PB1,11004,Mobiles,IQ Mobiles,5
GL67,10961,Earphones,Noiseearbuds,5
GC15,10706,Mobiles,Apple Mobiles,5
WA51,10895,Mobiles,samsung,2
HC5,10715,Mobiles,Apple Mobiles,2
MZ21,10748,Speakers,boat,4
TE51,10924,Tvs,samsungTV,3
KR42,10889,Cameras,nikoncamera,3
MR49,10803,Laptops,hp,4
DL43,10913,Mobiles,samsung,4
FQ77,10728,Speakers,boat,4
OP5,10739,Speakers,boat,5
SF42,10974,Earphones,Noiseearbuds,5
FN34,10929,Tvs,samsungTV,3
LZ5,10988,Earphones,Realmebuds,4
VK61,10751,Cameras,canoncamera,5
GG34,10711,Mobiles,Apple Mobiles,2
OP52,10964,Earphones,Noiseearbuds,3
OI41,10900,Mobiles,samsung,5
UH95,10992,Earphones,Realmebuds,3
KG40,10771,Cameras,canoncamera,5
RS38,10751,Cameras,canoncamera,4
MD54,10936,Tvs,samsungTV,4
IE78,10810,Laptops,lenovo,4
IR16,10917,Mobiles,samsung,2
HZ51,10820,Laptops,lenovo,3
JY80,10892,Mobiles,samsung,3
LG28,10899,Mobiles,samsung,3
UB97,10759,Cameras,canoncamera,5
VH23,10942,Speakers,Skullcandy,4
PL92,10881,Cameras,nikoncamera,3
MX37,10752,Cameras,canoncamera,4
WC77,10961,Earphones,Noiseearbuds,3
OO18,10814,Laptops,lenovo,4
BW90,10867,Cameras,nikoncamera,3
VU100,10933,Tvs,samsungTV,3
TV66,10802,Laptops,hp,2
CL20,11000,Mobiles,IQ Mobiles,3
OH55,10941,Speakers,Skullcandy,4
ZL15,10875,Cameras,nikoncamera,2
TN46,10910,Mobiles,samsung,4
ZP80,10758,Cameras,canoncamera,2
QJ26,10837,Tvs,lgTV,5
FJ49,10878,Cameras,nikoncamera,5
LY86,10841,Tvs,lgTV,3
CS54,10973,Earphones,Noiseearbuds,3
BZ91,11015,Earphones,OnePlusBuds,4
YF28,10964,Earphones,Noiseearbuds,2
BI58,10784,Laptops,dell,3
CS54,10817,Laptops,lenovo,3
CS54,10998,Mobiles,IQ Mobiles,4
IF50,10852,Mobiles,mi,2
LI70,10848,Mobiles,mi,5
RS38,10757,Cameras,canoncamera,4
CQ50,10709,Mobiles,Apple Mobiles,4
NG44,10994,Mobiles,IQ Mobiles,5
PS56,10759,Cameras,canoncamera,3
QL88,10935,Tvs,samsungTV,2
ZF3,10723,Mobiles,Apple Mobiles,4
VP17,10756,Cameras,canoncamera,4
EQ45,10783,Laptops,dell,4
XF67,10933,Tvs,samsungTV,4
UI4,10870,Cameras,nikoncamera,5
RW35,10728,Speakers,boat,4
ZZ71,10839,Tvs,lgTV,3
PH61,10927,Tvs,samsungTV,2
FU3,10878,Cameras,nikoncamera,5
VP76,10829,Tvs,lgTV,5
AJ46,10983,Earphones,Realmebuds,3
HH48,10895,Mobiles,samsung,2
CO96,10802,Laptops,hp,3
OP75,10822,Tvs,lgTV,5
IF31,10842,Tvs,lgTV,4
TY83,10818,Laptops,lenovo,4
YA82,11018,Earphones,OnePlusBuds,3
CZ60,10988,Earphones,Realmebuds,3
MK24,10874,Cameras,nikoncamera,4
VS60,10912,Mobiles,samsung,4
KM61,10970,Earphones,Noiseearbuds,4
EO45,10950,Speakers,Skullcandy,3
EO45,10972,Earphones,Noiseearbuds,5
ZN68,10863,Mobiles,mi,4
EP5,10751,Cameras,canoncamera,2
AX24,10912,Mobiles,samsung,5
FX28,10815,Laptops,lenovo,2
WT21,10981,Earphones,Realmebuds,4
SF23,10749,Speakers,boat,5
OT44,10863,Mobiles,mi,3
JQ39,10757,Cameras,canoncamera,5
GL67,10787,Laptops,dell,3
WR60,10798,Laptops,hp,4
KS30,10752,Cameras,canoncamera,3
KX43,10752,Cameras,canoncamera,5
LI70,10959,Earphones,Noiseearbuds,5
HD40,10755,Cameras,canoncamera,5
EC34,10954,Speakers,Skullcandy,4
QK4,10728,Speakers,boat,4
GR37,10908,Mobiles,samsung,2
PC48,10784,Laptops,dell,5
JY80,10889,Cameras,nikoncamera,5
ZE19,10884,Cameras,nikoncamera,4
GG4,10864,Cameras,nikoncamera,4
UM16,10786,Laptops,dell,3
BJ57,10751,Cameras,canoncamera,5
ST98,10754,Cameras,canoncamera,4
WT21,11018,Earphones,OnePlusBuds,2
VI66,10824,Tvs,lgTV,4
QJ96,11016,Earphones,OnePlusBuds,4
TY83,10710,Mobiles,Apple Mobiles,2
ZV28,10903,Mobiles,samsung,4
EE4,10702,Mobiles,Apple Mobiles,4
CL1,10854,Mobiles,mi,4
AJ46,10822,Tvs,lgTV,3
IS35,10842,Tvs,lgTV,3
EQ32,10704,Mobiles,Apple Mobiles,2
PO59,10893,Mobiles,samsung,5
QK45,10968,Earphones,Noiseearbuds,3
MG49,10873,Cameras,nikoncamera,2
DN91,10990,Earphones,Realmebuds,3
UJ98,10705,Mobiles,Apple Mobiles,3
CB73,10757,Cameras,canoncamera,5
PC48,10711,Mobiles,Apple Mobiles,2
MX37,10806,Laptops,hp,5
VM53,10907,Mobiles,samsung,3
VP76,10718,Mobiles,Apple Mobiles,3
GO9,10981,Earphones,Realmebuds,3
CO96,10979,Earphones,Realmebuds,4
MX37,10728,Speakers,boat,4
UB62,10971,Earphones,Noiseearbuds,4
JY80,10718,Mobiles,Apple Mobiles,4
CL1,10819,Laptops,lenovo,4
KP42,10991,Earphones,Realmebuds,4
DP36,10915,Mobiles,samsung,3
WN13,10875,Cameras,nikoncamera,2
ZI87,10814,Laptops,lenovo,2
KF92,10885,Cameras,nikoncamera,4
RJ10,10887,Cameras,nikoncamera,4
EE47,10864,Cameras,nikoncamera,3
MK24,10718,Mobiles,Apple Mobiles,2
UR60,10826,Tvs,lgTV,2
NL29,10962,Earphones,Noiseearbuds,5
XS54,10852,Mobiles,mi,2
UJ98,10936,Tvs,samsungTV,5
FU33,10716,Mobiles,Apple Mobiles,4
RJ10,10779,Laptops,dell,4
EP5,10893,Mobiles,samsung,4
AD88,10894,Mobiles,samsung,3
ZZ71,10833,Tvs,lgTV,5
GG34,10882,Cameras,nikoncamera,3
FS33,10864,Cameras,nikoncamera,3
ZN62,10713,Mobiles,Apple Mobiles,4
OF81,10950,Speakers,Skullcandy,2
RX67,10795,Laptops,hp,3
SF23,10898,Mobiles,samsung,3
BW61,10907,Mobiles,samsung,5
FH50,10959,Earphones,Noiseearbuds,2
TW77,10703,Mobiles,Apple Mobiles,4
QA25,10702,Mobiles,Apple Mobiles,4
KF92,10974,Earphones,Noiseearbuds,4
GW43,10728,Speakers,boat,3
MY2,10904,Mobiles,samsung,5
HR49,10847,Mobiles,mi,5
TF67,10912,Mobiles,samsung,3
AR1,10981,Earphones,Realmebuds,5
HW6,11002,Mobiles,IQ Mobiles,4
